component_name,cultivar_name,harvest_yield,humidity_rh,temperature_c,vapor_pressure_deficit,co2_ppm,fan_intensity,light_intensity,light_on_minutes,irrigation_minutes,grow_room
Butterhead,Fairly,20.886,53.3057142857142,23.185,1.3265977252532,1145.66666666666,149.0,228.0,54.0,60.0,Grow_1
Red Mizuna,Red Baron Plus,10.901,70.21,21.625,0.769803130405691,1095.25,149.0,255.0,35.0,60.0,Grow_2
Butterhead,Fairly,24.18,69.6433333333333,21.4199999999999,0.774669873433657,1197.25,149.0,255.0,60.0,60.0,Grow_5
Curly Iceberg,Cristabel,24.388,66.7316498168498,21.6242424908424,0.861776067511693,1218.20128205128,149.0,228.0,47.4,52.8,Grow_5
Baby Kale,Siberian,7.885,60.8238461538461,22.6307692307692,1.07628795665067,1081.08333333333,149.0,228.0,36.0,29.75,Grow_4
Baby Kale,Siberian,7.927,60.1161538461538,22.8853846153846,1.11276738929373,1081.08333333333,149.0,228.0,23.0,29.75,Grow_4
Basil,Keira,11.255,65.3023076923076,23.5284615384615,1.00640655591586,1153.16666666666,149.0,228.0,22.0,29.75,Grow_1
Green Romaine,Rome X,12.328,64.3576923076923,20.9584615384615,0.884166940138853,1221.91666666666,149.0,228.0,20.0,29.75,Grow_5
Basil,Keira,12.381,65.7784615384615,23.4961538461538,0.990665569996516,1150.58333333333,149.0,228.0,20.0,29.75,Grow_1
Green Romaine,Rome X,13.083,58.6215384615384,22.08,1.09936399650565,1221.91666666666,149.0,228.0,20.0,29.75,Grow_5
Green Romaine,Green Forest,17.814,54.3706666666666,24.5326666666666,1.40568448184878,1262.27272727272,149.0,228.0,20.0,29.75,Grow_5
Green Romaine,Green Forest,18.933,58.4266666666666,23.4258333333333,1.19839982654167,1262.27272727272,149.0,228.0,20.0,29.75,Grow_5
Butterhead,Fairly,20.731,52.7695909645909,22.3184615384615,1.37044680757811,1241.16666666666,149.0,228.0,20.0,29.75,Grow_5
Butterhead,Fairly,24.767,66.7623076923077,21.8746153846153,0.872088093920649,1117.5,149.0,228.0,28.0,29.75,Grow_5
Curly Iceberg,Cristabel,26.18,60.4484615384615,20.8184188034188,0.954203237296085,1101.0,149.0,228.0,23.0,29.75,Grow_5
Baby Kale,Siberian,8.366,67.5858241758241,22.0747252747252,0.861235326094577,1020.20454545454,149.0,241.5,20.0,29.75,Grow_2
Baby Kale,Siberian,9.067,69.9871703296703,21.0081318681318,0.747114237361729,1020.20454545454,149.0,255.0,20.0,29.75,Grow_2
Basil,Keira,10.177,67.9586538461538,22.5236538461538,0.876735068396333,1012.91666666666,149.0,255.0,37.5,44.5,Grow_3
Basil,Keira,10.449,68.1214102564102,22.3793333333333,0.862896021351671,1146.0303030303,149.0,241.5,31.0,29.75,Grow_2
Basil,Keira,11.517,67.7475,22.8429166666666,0.900558472790118,1027.56089743589,149.0,241.5,34.5,44.0,Grow_3
